claim,tag,connector,method_args,returned_id,returned_value_or_quote
"Senolytics (dasatinib/navitoclax) act on kinase/BCL-2, NOT growth controller",CITED,ChEMBL,"get_mechanisms CHEMBL1421,CHEMBL443684",CHEMBL1421->CHEMBL1862(ABL); CHEMBL443684->CHEMBL4860(BCL-2),distinct target class from mTOR
MTOR top human genetic assoc = overgrowth/cortical dysplasia,CITED,Open Targets (clinical-genomics),open_targets_graphql ENSG00000198793,n=2599,Macrocephaly/overgrowth syndromes top-ranked (0.83/0.69)
GHR top human assoc = Laron syndrome/short stature,CITED,Open Targets,ENSG00000112964,n=1358,Laron syndrome score 0.83; short stature 0.76
IGF1R/INSR/IGF1 top assoc = growth delay/growth-resistance/dwarfism,CITED,Open Targets,"ENSG00000140443,ENSG00000171105,ENSG00000017427",n=1407/1353/3944,growth delay 0.81; leprechaunism 0.84; growth delay/dwarfism 0.76
Tabula Muris Senis mouse aging atlas (empirical rate readout),CITED,GEO (omics-archives),geo_search_series 'Tabula Muris Senis',GSE132040,"bulk RNA-seq, n=947 samples across ages/tissues"
Human tissue aging transcriptomes available (n=215 series),CITED,GEO,geo_search_series aging Homo sapiens,215 series,real human aging omics exist
AnAge maximum-longevity / life-history source,CITED,AnAge/HAGR (genomics.senescence.info),dataset.zip build 14,"anage_data.txt (4645 species, 31 cols)",de Magalhaes HAGR; downloaded this session
Mammalian max lifespan spans 100-fold (quality-filtered),INFERENCE(from CITED AnAge),pandas analysis,min/max on acceptable+high quality,n=1003,2.10 yr (N. red-backed vole) -> 211 yr (bowhead whale)
Vertebrate max lifespan spans 2450-fold,INFERENCE(from CITED AnAge),pandas analysis,min/max,n=3924,0.16 yr (pygmy goby) -> 392 yr (Greenland shark)
Body-mass allometry explains ~50% of mammalian lifespan variance,INFERENCE(from CITED AnAge),linregress log-log,OLS,n=997,"log10(ML)=0.159*log10(mass)+0.674, r=0.705"
Age-at-maturity predicts lifespan after mass correction (mammals),INFERENCE(from CITED AnAge),partial correlation (Fisher-z CI),control log adult weight,n=801,"partial r=+0.65, p=3e-97"
Growth-rate constant predicts lifespan after mass correction (mammals),INFERENCE(from CITED AnAge),partial correlation,control mass,n=215,"partial r=-0.37, p=2e-8"
Age-at-maturity predicts lifespan after mass correction (birds),INFERENCE(from CITED AnAge),partial correlation,control mass,n=807,"partial r=+0.36, p=7e-26"
Bird growth-rate signal VANISHES after mass correction (honest null),INFERENCE(from CITED AnAge),partial correlation,control mass,n=298,"partial r=-0.04, p=0.46"
MRDT (direct aging-rate) tracks age-at-maturity after mass correction,INFERENCE(from CITED AnAge),partial correlation,control mass,n=17,"partial r=+0.85, p=2e-5 (MRDT available n=42 total)"
Relationship partly survives phylogeny (order-level aggregation),INFERENCE(from CITED AnAge),order-mean partial correlation,control mass,n=20 orders,"partial r=+0.53, p=0.017"
Naked mole-rat lives 3.7x longer than mass-allometry predicts; mouse 0.5x,INFERENCE(from CITED AnAge),allometric residual,residual,NMR +0.57 log10; mouse -0.28,obs NMR 31 yr vs pred 8.3; mouse 4 vs 7.6
NMR vs mouse: 1.7x mass but 5.4x maturity and 7.8x lifespan,INFERENCE(from CITED AnAge),ratio,-,-,mouse 20g/42d/4yr; NMR 35g/228d/31yr
Nutrient-sensing nodes NOT more network-central than other hallmark genes (pre-registered NULL),INFERENCE(from CITED STRING),"betweenness + 10,000x permutation null","required_score=400, 35 genes/336 edges",p=0.45,NS 0.0147 vs other 0.0177 (ratio 0.83); top hub TP53 (senescence)
Telomere-attrition theory (primary source),CITED,PubMed,get_article_metadata pmid=2342578,PMID 2342578; doi:10.1038/345458a0,Harley 1990 Nature 'Telomeres shorten during ageing of human fibroblasts'
